id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
6011848,6,California,CA,Modoc,Bieber,Adin,CDP,place,96009,530,8901691,15858,41.199312,-120.956779,54602,300000,32641,37.8988659229674
6011858,6,California,CA,Humboldt,Blocksburg,Alderpoint,CDP,place,95514,707,6288255,0,40.161347,-123.615729,24830,300000,14770,140.0
6011868,6,California,CA,San Diego,Alpine,Alpine,CDP,place,91901,619,69370314,1475,32.842286,-116.756044,91662,79440,65636,2524.28805518864
6011878,6,California,CA,Santa Cruz,Watsonville,Amesti,CDP,place,95076,831,7747643,166234,36.959483,-121.781739,63761,48440,55214,620.110873436596
6011888,6,California,CA,Santa Cruz,Aptos,Aptos,CDP,place,95003,831,16657985,0,36.991147,-121.892758,96841,82737,67911,1074.37648445388
6011898,6,California,CA,San Luis Obispo,Arroyo Grande,Arroyo Grande city,City,place,93420,805,15106782,0,35.124305,-120.584854,81093,63124,62913,3757.19813633919
6011908,6,California,CA,Placer,Auburn,Auburn city,City,place,95603,530,18529464,71271,38.895075,-121.076739,71164,52951,60295,3517.81296487666
6011918,6,California,CA,Kern,Bakersfield,Bakersfield city,City,place,93304,661,385366784,3809676,35.321213,-119.018291,71025,56986,57439,62475.4128091042
6011928,6,California,CA,Humboldt,Eureka,Bayview,CDP,place,95503,707,1895432,0,40.765335,-124.178605,41404,31689,37090,805.41557902839
6011938,6,California,CA,Shasta,Bella Vista,Bella Vista,CDP,place,96008,530,57495927,367924,40.651672,-122.256513,60891,54896,39884,576.705298264188
6011948,6,California,CA,Mono,Benton,Benton,CDP,place,93512,760,73770754,52423,37.843606,-118.4899,33158,31129,17722,125.197201304273
6011958,6,California,CA,Shasta,Big Bend,Big Bend,CDP,place,96011,530,14852516,230960,41.011615,-121.930444,29530,19739,22104,51.399580435958
6011968,6,California,CA,Marin,Novato,Black Point-Green Point,CDP,place,94945,415,7322433,181453,38.109893,-122.518376,132698,127534,71468,131.454210340656
6011978,6,California,CA,Marin,Bolinas,Bolinas,CDP,place,94924,415,15090533,0,37.917725,-122.709502,100173,76150,73456,241.254868165669
6011988,6,California,CA,San Diego,Borrego Springs,Borrego Springs,CDP,place,92004,760,111554058,874219,33.245398,-116.357035,41547,31028,31083,897.97910321573
6011998,6,California,CA,Contra Costa,Brentwood,Brentwood city,City,place,94513,925,38463708,21105,37.935905,-121.718547,100640,92772,64768,7494.29857104342
6012008,6,California,CA,Santa Barbara,Buellton,Buellton city,City,place,93427,805,4097749,1684,34.615497,-120.194237,80327,71623,55978,887.14110789953
6012018,6,California,CA,Butte,Oroville,Butte Valley,CDP,place,95965,530,47370530,29332,39.668804,-121.645889,78774,55666,52503,114.293737781304
6012028,6,California,CA,Riverside,Calimesa,Calimesa city,City,place,92399,909,38481117,0,33.987344,-117.054211,61578,45346,50889,2145.65704358819
6012038,6,California,CA,San Luis Obispo,Cambria,Cambria,CDP,place,93428,805,22036535,0,35.552479,-121.084527,78162,60687,56027,1536.92705566636
6012048,6,California,CA,Yuba,Camptonville,Camptonville,CDP,place,95922,530,2211388,0,39.452065,-121.048719,45763,32833,48119,67.7974994781688
6012058,6,California,CA,Sonoma,Bodega Bay,Carmet,CDP,place,94923,707,742472,0,38.374452,-123.071859,32499,300000,1826,7.0
6012068,6,California,CA,Santa Barbara,Santa Maria,Casmalia,CDP,place,93455,805,488123,0,34.837589,-120.531071,72668,300000,26981,16.3323021486756
6012078,6,California,CA,Sonoma,Cazadero,Cazadero,CDP,place,95421,707,18431244,3546,38.527831,-123.109799,57388,41500,50971,87.5967863255906
6012088,6,California,CA,Los Angeles,Covina,Charter Oak,CDP,place,91724,626,2403064,0,34.102483,-117.856315,74506,62609,49426,1443.87355181399
6012098,6,California,CA,San Bernardino,Chino,Chino city,City,place,91710,909,76829663,33348,33.978037,-117.657719,82439,72505,56415,9358.20926724084
6012108,6,California,CA,Contra Costa,Clayton,Clayton city,City,place,94517,925,9946656,0,37.94032,-121.930076,135724,130312,75495,1170.29716196454
6012118,6,California,CA,Contra Costa,Concord,Clyde,CDP,place,94520,925,371137,0,38.0254,-122.02806,67508,39905,59076,185.8945946976
6012128,6,California,CA,Placer,Colfax,Colfax city,City,place,95713,530,3641506,0,39.093799,-120.953222,62241,48972,48721,597.712204758276
6012138,6,California,CA,Los Angeles,Compton,Compton city,City,place,90220,310,25973637,227893,33.894047,-118.227469,52186,43250,40688,15651.3500894229
6012148,6,California,CA,Santa Cruz,Watsonville,Corralitos,CDP,place,95076,831,23275301,37138,36.984181,-121.789329,114042,86241,75281,328.276314310433
6012158,6,California,CA,Los Angeles,West Covina,Covina city,City,place,91723,626,18203062,32773,34.090475,-117.882143,77334,64833,55152,7877.27452465529
6012168,6,California,CA,Plumas,Quincy,Cromberg,CDP,place,95971,530,23385107,0,39.868383,-120.690446,36865,26537,29934,77.6630243601567
6012178,6,California,CA,San Mateo,Daly City,Daly City city,City,place,94014,650,19788422,0,37.700941,-122.464979,88415,74953,62070,14227.3302497758
6012188,6,California,CA,Kern,Delano,Delano city,City,place,93215,661,37044413,135325,35.763183,-119.26356,46670,35348,36810,8089.25516016155
6012198,6,California,CA,Kern,Mckittrick,Derby Acres,CDP,place,93251,661,9274815,0,35.244025,-119.603833,64762,38492,59874,74.463007671778
6012208,6,California,CA,Los Angeles,Diamond Bar,Diamond Bar city,City,place,91765,909,38539601,13084,34.001573,-117.817601,101668,89518,68452,7349.17261461058
6012218,6,California,CA,Calaveras,Avery,Dorrington,CDP,place,95224,209,9398404,12551,38.294369,-120.270062,94240,36578,87348,93.6311426449058
6012228,6,California,CA,Alameda,Dublin,Dublin city,City,place,94568,925,39453265,0,37.716154,-121.896234,126995,119417,72770,5306.96934221662
6012238,6,California,CA,Riverside,Hemet,East Hemet,CDP,place,92544,951,13467988,0,33.730139,-116.940992,59514,47505,48363,3515.86048737486
6012248,6,California,CA,Los Angeles,Compton,East Rancho Dominguez,CDP,place,90221,310,2129017,0,33.894834,-118.195587,55412,43934,43685,2192.07472129769
6012258,6,California,CA,San Luis Obispo,San Luis Obispo,Edna,CDP,place,93401,805,3158263,0,35.210785,-120.605967,70959,300000,30348,42.3315821438778
6012268,6,California,CA,Glenn,Elk Creek,Elk Creek,CDP,place,95939,530,3753632,81504,39.598678,-122.53232,43059,36830,25925,54.265528402987
6012278,6,California,CA,Los Angeles,El Segundo,El Segundo city,City,place,90245,310,14149156,4084,33.917145,-118.401554,104661,86968,70772,2594.74876921529
6012288,6,California,CA,San Diego,Escondido,Escondido city,City,place,92026,760,96015101,455887,33.133053,-117.074043,67119,51007,55767,26781.6819926142
6012298,6,California,CA,Madera,Chowchilla,Fairmead,CDP,place,93610,559,20035532,0,37.077473,-120.193661,46256,31719,41939,298.785498504384
6012308,6,California,CA,Sonoma,Sonoma,Fetters Hot Springs-Agua Caliente,CDP,place,95476,707,3783771,0,38.327504,-122.487137,67684,53517,59891,901.689843001601
6012318,6,California,CA,Tehama,Flournoy,Flournoy,CDP,place,96029,530,15012811,0,39.928357,-122.446164,55519,52439,37852,26.965050156285
6012328,6,California,CA,Modoc,New Pine Creek,Fort Bidwell,CDP,place,97635,530,8288093,43567,41.863301,-120.159395,39439,25955,35242,58.8642066260862
6012338,6,California,CA,Merced,Merced,Franklin,CDP,place,95348,209,5226600,0,37.327717,-120.532114,49495,36846,45243,1455.98253085057
6012348,6,California,CA,Fresno,Fresno,Friant,CDP,place,93730,559,3239536,130737,36.984012,-119.70806,33535,18417,34551,126.397873699243
6012358,6,California,CA,San Joaquin,Stockton,Garden Acres,CDP,place,95215,209,6693771,0,37.963697,-121.22961,45384,38763,31249,2121.73362506411
6012368,6,California,CA,Santa Clara,Gilroy,Gilroy city,City,place,95020,408,41808104,26658,37.006407,-121.585321,94368,81326,67204,6759.37216898269
6012378,6,California,CA,Sierra,Downieville,Goodyears Bar,CDP,place,95936,530,5309072,43381,39.552354,-120.893102,21163,30485,13700,21.3318666666667
6012388,6,California,CA,Stanislaus,Westley,Grayson,CDP,place,95387,209,577471,0,37.564951,-121.179463,46187,27144,47208,191.627368924625
6012398,6,California,CA,Plumas,Greenville,Greenville,CDP,place,95947,530,20701558,0,40.133603,-120.945333,40839,27678,41290,411.155847144079
6012408,6,California,CA,Merced,Gustine,Gustine city,City,place,95322,209,4017002,0,37.254514,-120.99487,55566,38476,48129,1306.72296658336
6012418,6,California,CA,Solano,Vacaville,Hartley,CDP,place,95688,707,16772049,72212,38.420393,-121.950842,107548,88891,67964,331.13872598453
6012428,6,California,CA,Sacramento,Herald,Herald,CDP,place,95638,209,20406214,57778,38.288434,-121.231034,105322,116734,59006,112.820231068841
6012438,6,California,CA,San Bernardino,Highland,Highland city,City,place,92346,909,48574930,348871,34.113473,-117.165729,71416,53373,58733,8813.00614730641
6012448,6,California,CA,San Bernardino,Twentynine Palms,Homestead Valley,CDP,place,92227,760,87750645,0,34.273019,-116.414529,38162,26647,35631,1055.96573004793
6012458,6,California,CA,Orange,Huntington Beach,Huntington Beach city,City,place,92648,714,69762694,13438927,33.690569,-118.00933,98804,83908,69678,31761.5594952181
6012468,6,California,CA,Plumas,Greenville,Indian Falls,CDP,place,95947,530,4770041,0,40.05875,-120.980314,17122,20515,7032,44.6657333333333
6012478,6,California,CA,Amador,Ione,Ione city,City,place,95640,209,11901656,118011,38.36003,-120.944343,67768,50637,55281,1656.28948598802
6012488,6,California,CA,San Diego,Jamul,Jamul,CDP,place,91935,619,42950502,647442,32.721063,-116.863036,116516,111367,64817,633.919828978289
6012498,6,California,CA,Riverside,Jurupa Valley,Jurupa Valley city,City,place,92509,951,111216400,1914744,34.002591,-117.467612,66953,57050,50640,14036.3835295529
6012508,6,California,CA,Sonoma,Kenwood,Kenwood,CDP,place,95452,707,13381220,0,38.415407,-122.538753,102857,300000,73360,244.456188914752
6012518,6,California,CA,Placer,Truckee,Kingvale,CDP,place,96161,530,2490333,22032,39.320997,-120.438309,69749,300000,5981,4.33275551703447
6012528,6,California,CA,Orange,Ladera Ranch,Ladera Ranch,CDP,place,92694,949,12539189,0,33.549356,-117.641503,146539,137452,77834,2023.40886104408
6012538,6,California,CA,Plumas,Chester,Lake Almanor Country Club,CDP,place,96020,530,7104824,0,40.257771,-121.146958,105321,76530,81893,128.392498509608
6012548,6,California,CA,Shasta,Redding,Lakehead,CDP,place,96003,530,12160323,1511480,40.903436,-122.399658,54704,31295,54483,182.826616317211
6012558,6,California,CA,Riverside,Aguanga,Lake Riverside,CDP,place,92536,951,18888597,216496,33.518735,-116.812103,64425,69282,33988,131.15732519037
